country_name_short,country_name,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
NLD,Netherlands,KVP,Catholic Peoples Party,Katholieke Volkspartij,Katholieke Volkspartij,chr,Christian democracy,5.947308203847786,5.884832549346123,6.688169836496048,7.71572571235791,22522,,,1106,,1001,7040,1001,8,451,3
NLD,Netherlands,LN,Livable Netherlands,Leefbaar Nederland,Leefbaar Nederland,right,Right-wing,,,,,22430,,,,,,,,8,744,40
NLD,Netherlands,LPF,Fortuyn List,Lijst Pim Fortuyn,Lijst Pim Fortuyn,right,Right-wing,8.560933464451843,8.077556606091946,4.775921052631579,2.5798246450591487,22720,,,,,,7120,1015,8,456,40
NLD,Netherlands,NMP,Dutch Middle Class Party,Nederlandse Middenstandspartij,Nederlandse Middenstandspartij,con,Conservative,,,,,,,,,,,,,8,87,26
NLD,Netherlands,PPR,Radical Political Party,Politieke Partij Radikalen,Politieke Partij Radikalen,soc,Social democracy,1.6,,,5,22310,,,1103,,1010,,,8,342,11
NLD,Netherlands,PSP,Pacifist Socialist Party,Pacifistisch Socialistische Partij,Pacifistisch Socialistische Partij,com,Communist/Socialist,,,,5,,,,,,1011,,,8,1452,14
NLD,Netherlands,PVV,Party for Freedom,Partij voor de Vrijheid,Partij voor de Vrijheid,con,Conservative,8.8,8.29,6.57,0.9166666666666666,,301,1528600,,,,,1017,8,1501,26
NLD,Netherlands,PvdA,Labour,Partij van de Arbeid,Partij van de Arbeid,soc,Social democracy,3.611752961746201,3.868014366501256,3.2028110033587405,7.990377713588244,22320,299,1528320,1104,2602,1002,7140,1002,8,742,11
NLD,Netherlands,PvdD,Party for the Animals,Partij voor de Dieren,Partij voor de Dieren,spec,Special issue,,,,,,300,1528006,,,,,,8,990,16
NLD,Netherlands,RKPN,Roman Catholic Party,Rooms-Katholieke Partij Nederland,Rooms-Katholieke Partij Nederland,spec,Special issue,,,,,,,,,,,,,8,1024,16
NLD,Netherlands,RKSP,Roman-Catholic Political Party,Rooms-Katholieke Staatspartij,Rooms-Katholieke Staatspartij,chr,Christian democracy,,,,,,,,,,,,,8,1117,3
NLD,Netherlands,RPF,Reformatory Political Federation,Reformatorisch Politieke Federatie,Reformatorisch Politieke Federatie,chr,Christian democracy,8.296296359874583,6,8.54545497894287,3.5446968793869003,,,,1109,2608,1008,,1008,8,212,3
NLD,Netherlands,SDAP,Social Democratic Workers' Party,Sociaal Democratische Arbeiders Partij,Sociaal Democratische Arbeiders Partij,soc,Social democracy,,,,,,,,,,,,,8,1451,11
NLD,Netherlands,SGP,Political Reformed Party,Staatkundig Gereformeerde Partij,Staatkundig Gereformeerde Partij,con,Conservative,8.391862943102742,6.7162281337537255,9.506023987887199,3.4729266076757197,,294,1528527,1110,2607,1006,7160,1006,8,1251,26
NLD,Netherlands,SGP/GPV/RP,Reformatory Political Federation/Reformed Political League/Political Reformed Party,Staatkundig Gereformeerde Partij/Gereformeerd Politiek Verbond/Reformatorische Politieke Federatie,Staatkundig Gereformeerde Partij/Gereformeerd Politiek Verbond/Reformatorische Politieke Federatie,all,electoral alliance,,,,,,,,,,,,,8,1771,27
NLD,Netherlands,SP,Socialist Party,Socialistische Partij,Socialistische Partij,com,Communist/Socialist,1.214551395165293,1.0421115258492921,4.209868421052631,2.504901980098922,22220,304,1528220,1101,,,7180,1014,8,357,14
NLD,Netherlands,TOP,Proud of the Netherlands,Trots op Nederland,Trots op Nederland,con,Conservative,,,,,,,1528726,,,,,,8,1247,26
NLD,Netherlands,Un55,Union 55+,Unie 55+,Unie 55+,spec,Special issue,,,,,,,,,,,,,8,1,16
NLD,Netherlands,VDB,Free-thinking Democratic League,Vrijzinnig Democratische Bond,Vrijzinnig Democratische Bond,lib,Liberal,,,,,,,,,,,,,8,944,6
NLD,Netherlands,VVD,People's Party for Freedom and Democracy,Volkspartij voor Vrijheid en Democratie,Volkspartij voor Vrijheid en Democratie,lib,Liberal,7.348177459579229,7.897858966777199,4.3886842607197005,5.947129160897777,22420,305,1528420,1107,2605,1003,7200,1003,8,1409,6
NLD,Netherlands,etc,others,others,others,none,no family,,,,,,,,,,,,,8,262,12
NLD,Netherlands,none,no party affiliation,no party affiliation,no party affiliation,none,no family,,,,,,,,,,,,,8,674,12
NOR,Norway,DLF,Liberal People's Party,Det Liberale Folkepartiet,Det Liberale Folkepartiet,lib,Liberal,,,,,12410,,,,,,,,9,1209,6
