"","elect.uid","country","year","election_date","n.parties","p.crash.tm1","p.crash.tp1","s.crash.tm1","s.crash.tp1","c.location.mean.tm1","c.location.max.tm1","c.location.min.tm1","c.location.mean.tp1","c.location.max.tp1","c.location.min.tp1","share.v.crash.tm1","share.v.crash.tp1","np.vote","NP.d","S.NP.d","NP.n","S.NP.n","np.location.min","np.location.max","np.location.mean","uid"
"76",76,"Belgium","1981","1981-11-08",15,0,1,0,0.225481481481481,0,0,0,2.57530864786219,4.2,1.12592594358656,0,7.57,5.47,1,1,3,2,2.35897661283467,2.42384990694927,2.39141325989197,"Belgium1981"
"77",77,"Belgium","1985","1985-10-13",13,1,1,0.450962962962963,0,2.66296297179328,4.2,1.12592594358656,4.2,4.2,4.2,5.2,1.15,0,0,0,0,0,0,0,0,"Belgium1985"
"78",78,"Belgium","1987","1987-12-13",12,0,1,0,0,0,0,0,3.6,3.6,3.6,0,0.83,0,0,0,0,0,0,0,0,"Belgium1987"
"79",79,"Belgium","1991","1991-11-24",14,0,1,0,0,0,0,0,1.49051851145426,1.85511107932197,1.12592594358656,0,12.8,3.2,1,1,1,1,0,0,0,"Belgium1991"
"80",80,"Belgium","1995","1995-05-21",12,0,1,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,"Belgium1995"
"81",81,"Belgium","1999","1999-06-13",12,0,1,0,0.110362861118344,0,0,0,1.73300173038163,2.42384990694927,0.766711852945543,0,55.73,2.1,1,0,1,0,0,0,0,"Belgium1999"
"82",82,"Belgium","2003","2003-05-18",11,1,1,0.386270013914202,0,2.39141325989197,2.42384990694927,2.35897661283467,1.17054613620542,1.5321491599873,0.808943112423539,14.29,16.31,42.62,1,1,4,4,0.808943112423539,1.74503990938789,1.4437611026585,"Belgium2003"
"83",83,"Belgium","2007","2007-06-10",12,0,1,0,0,0,0,0,4.65497087177478,4.65497087177478,4.65497087177478,0,2,22.53,1,1,2,2,0,0,0,"Belgium2007"
"84",84,"Belgium","2010","2010-06-13",13,0,-Inf,0,0,0,0,0,0,0,0,0,0,1.29,1,1,1,1,0,0,0,"Belgium2010"
"85",85,"Bulgaria","1991","1991-10-13",9,0,1,0,0,0,0,0,0,0,0,0,6.39,NA,NA,NA,NA,NA,0.417208946629573,1.99362043748822,1.28129189480118,"Bulgaria1991"
