id;elmonth;nr_ele;cntry;country;year;mixed;yearsdem;pub_fin_new;fsu;gdp_grow;dismag;dismag2;threshold;enp;turnout;turn_chan;np5;np3;vote_new;vanhanen;deposit;petition;unemp;nongov;against;president;yearsdem2;ln_yearsdem;inflation_index;inflation;Federal;Corruption_cpi;Corruption_wb;Inelastic_vote;System_polarization;polarization;System_polarization_new;Available_issues_new;Available_issues_full;Available_issues;Organizational_strength;Source notes;gap;Signatures needed;population
67;9;1;14;Montenegro;2006;0;3;1;0;8,590197069;81,00;81,00;3;3,369556061;72,04632248;8,67370392;5;5;32,99954255;;0;1;;5;0;;9;1,098612309;337,915;2,11600;0,00;2,80;-0,42;;;223,2807111;;;;;;elmonth, year, election, years since independence: Parline;;1000;
68;3;2;14;Montenegro;2009;0;6;1;0;-5,701926858;81,00;81,00;3;3,203906202;66,18817792;-5,85814456;3;3;3,93713425;;0;1;;8;0;;36;1,791759491;394,795;3,55900;0,00;3,40;-0,19;;;;;;;;;elmonth, year, election, years since independence: Parline;;1000;
69;10;3;14;Montenegro;2012;0;9;1;0;3,94E-02;81,00;81,00;3;3,448478014;70,55937594;4,37119802;1;1;8,4;;0;1;;4;0;;81;2,197225;423,598;3,40700;0,00;4,00;-0,21;;;;;;;;;elmonth, year, election, years since independence: Parline;;;
70;9;3;15;Poland;1993;0;4;0;0;-5,289999962;16,70000076;7,52;5;9,779087067;52,09999847;8,899999619;4;4;18,17000008;4;0;0,187427402;13,30000019;4;0;6;16;1,386294365;38,406;35,30000;0,00;;;;-1,311117537;241,5741733;47,583067800;0,0892857143;0,3272727273;0,0943396226;;;;;
71;9;4;15;Poland;1997;0;8;0;0;4,869999886;16,70000076;7,52;5;4,587871075;47,93000031;-4,170000076;4;4;10,72999954;4;0;0,176000595;13,30000019;3;0;3;64;2,079441547;89,445;14,90000;0,00;5,57;0,54;52,30;1,326267718;48,1882604;65,186875790;0,2142857143;0,4909090909;0,1509433962;;;;;
72;9;5;15;Poland;2001;0;12;0;0;4,099999905;16,70000076;12,78;5;4,497970104;46,18000031;-1,720000029;3;4;30,37999916;4;0;0,170276493;16,70000076;2;0;3;144;2,484906673;124,635;5,50000;0,00;4,10;0,55;37,61;0,065468803;65,1868758;204,241506400;0,3571428571;0,5818181818;0,3018867925;;;;;
73;9;6;15;Poland;2005;0;16;0;0;5,400000095;16,70000076;11,22;5;5,87;40,56999969;-5,610000134;5;7;10,5;4;0;0,170276493;19,5;3;0;3;256;2,77258873;135,298;2,12400;0,00;3,50;0,11;31,89;-0,037698048;204,2415065;10,161339230;0,3035714286;0,5909090909;0,2641509434;;;;;
74;10;7;15;Poland;2007;0;18;0;0;6,784804794;11,19999981;11,22;5;3,33;53,87813567;13,31000031;0;0;0;4;0;0,164414192;9,602;1;0;3;324;2,890372;140,103;2,49200;0,00;3,70;0,18;35,57;0,239596410;10,1616688;11,207091490;0,2678571429;0,5636363636;0,2264150943;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;5000;;
75;10;8;15;Poland;2011;0;22;0;0;4,321167176;11,19999981;11,22;5;3,747437689;48,92260429;-4,95553138;2;2;12,21255182;4;0;0,161279917;9,648;0;0;3;484;3,091042;161,452;4,26800;0,00;5,30;0,46;;;11,2070915;;0,2321428571;0,5545454545;0,2264150943;;;5000;;
76;9;2;16;Romania;1992;0;2;0;0;-6,199999809;7,800000191;7,81;3;6,674881935;76,29000092;-9,899999619;6;8;34,36999893;25;0;0,610500574;8;7;0;5;4;0,693147182;0,75;210,38600;0,00;;;;0,702665506;151,6315482;116,872003800;0,1071428571;0,3363636364;0,1132075472;;;;;
