"","country","year","ccode","ccode2","legislative_type","elecrule","tier1_avemag","enep1","enpp1","uid"
"205","Central African Republic",1993,482,482,1,2,1,-99,4.76,"Central African Republic1993"
"206","Central African Republic",1998,482,482,1,2,1,4.25,4.25,"Central African Republic1998"
"207","Chile",1949,155,155,2,9,5.25,7.05,6.05,"Chile1949"
"208","Chile",1953,155,155,2,9,5.25,11.88,9.02,"Chile1953"
"209","Chile",1957,155,155,2,9,5.25,8.62,6.75,"Chile1957"
"210","Chile",1961,155,155,2,9,5.25,6.44,5.9,"Chile1961"
"211","Chile",1965,155,155,2,9,5.25,4.06,2.8,"Chile1965"
"212","Chile",1969,155,155,2,9,5.36,4.92,4.09,"Chile1969"
"213","Chile",1973,155,155,2,9,5.36,5.3,5.18,"Chile1973"
"214","Chile",1993,155,155,2,9,2,6.55,4.86,"Chile1993"
"215","Chile",1997,155,155,2,9,2,6.95,5.02,"Chile1997"
"216","Chile",2001,155,155,2,9,2,6.57,5.94,"Chile2001"
"217","Chile",2005,155,155,2,9,2,6.58,5.59,"Chile2005"
"218","Chile",2009,155,155,2,9,2,7.32,5.65,"Chile2009"
"219","Colombia",1947,100,100,2,9,-99,2.01,1.97,"Colombia1947"
"220","Colombia",1949,100,100,2,9,-99,2.01,2,"Colombia1949"
"221","Colombia",1958,100,100,-99,-99,-99,2.43,2.65,"Colombia1958"
"222","Colombia",1960,100,100,-99,-99,-99,3.44,3.56,"Colombia1960"
"223","Colombia",1962,100,100,-99,-99,-99,3.96,4.02,"Colombia1962"
"224","Colombia",1964,100,100,-99,-99,-99,3.76,3.75,"Colombia1964"
"225","Colombia",1966,100,100,-99,-99,-99,4.45,4.43,"Colombia1966"
"226","Colombia",1968,100,100,-99,-99,-99,4.12,4.24,"Colombia1968"
"227","Colombia",1970,100,100,-99,-99,-99,5.9,5.91,"Colombia1970"
"228","Colombia",1974,100,100,2,9,7.65,2.37,2.29,"Colombia1974"
"229","Colombia",1978,100,100,2,9,7.65,2.17,2.06,"Colombia1978"
"230","Colombia",1982,100,100,2,9,7.65,2.08,1.98,"Colombia1982"
"231","Colombia",1986,100,100,2,9,7.65,2.69,2.47,"Colombia1986"
"232","Colombia",1990,100,100,2,9,7.65,2.23,2.2,"Colombia1990"
"233","Colombia",1991,100,100,2,9,4.88,3.33,3,"Colombia1991"
"234","Colombia",1994,100,100,2,9,4.88,2.67,2.79,"Colombia1994"
"235","Colombia",1998,100,100,2,9,4.88,3.9,3.18,"Colombia1998"
"236","Colombia",2002,100,100,2,9,4.88,8.64,7.17,"Colombia2002"
"237","Colombia",2006,100,100,2,9,4.88,8.77,7.19,"Colombia2006"
"238","Colombia",2010,100,100,2,9,4.88,5.97,4.95,"Colombia2010"
"239","Comoros",1992,581,581,1,2,1,17.37,11.7,"Comoros1992"
"240","Comoros",1993,581,581,1,2,1,-99,2.16,"Comoros1993"
"241","Comoros",2004,581,581,1,2,1,-99,-99,"Comoros2004"
"242","Comoros",2009,581,581,1,2,1,-99,-99,"Comoros2009"
"243","Congo",1963,484,484,1,6,9.17,1,1,"Congo1963"
"244","Congo",1992,484,484,1,2,1,-99,5.54,"Congo1992"
"245","Congo",1993,484,484,1,2,1,-99,4.63,"Congo1993"
"246","Costa Rica",1948,94,94,2,9,6.43,-99,1.67,"Costa Rica1948"
"247","Costa Rica",1953,94,94,2,9,6.43,2.11,1.97,"Costa Rica1953"
"248","Costa Rica",1958,94,94,2,9,6.43,3.57,3.22,"Costa Rica1958"
"249","Costa Rica",1962,94,94,2,9,8.14,2.71,2.61,"Costa Rica1962"
"250","Costa Rica",1966,94,94,2,9,8.14,2.33,2.14,"Costa Rica1966"
"251","Costa Rica",1970,94,94,2,9,8.14,2.56,2.15,"Costa Rica1970"
"252","Costa Rica",1974,94,94,2,9,8.14,4.01,3.13,"Costa Rica1974"
"253","Costa Rica",1978,94,94,2,9,8.14,2.88,2.38,"Costa Rica1978"
"254","Costa Rica",1982,94,94,2,9,8.14,2.53,2.27,"Costa Rica1982"
"255","Costa Rica",1986,94,94,2,9,8.14,2.49,2.21,"Costa Rica1986"
"256","Costa Rica",1990,94,94,2,9,8.14,2.56,2.21,"Costa Rica1990"
"257","Costa Rica",1994,94,94,2,9,8.14,2.78,2.29,"Costa Rica1994"
"258","Costa Rica",1998,94,94,2,9,8.14,3.37,2.56,"Costa Rica1998"
"259","Costa Rica",2002,94,94,2,9,8.14,4.63,3.68,"Costa Rica2002"
"260","Costa Rica",2006,94,94,2,9,8.14,4.84,3.23,"Costa Rica2006"
"261","Costa Rica",2010,94,94,2,9,8.14,4.78,3.9,"Costa Rica2010"
"262","Croatia",1992,344,344,3,12,1,4.205,2.7,"Croatia1992"
"263","Croatia",1995,344,344,3,12,1,3.785,2.64,"Croatia1995"
"264","Croatia",2000,344,344,2,9,14,3.89,2.71,"Croatia2000"
"265","Croatia",2003,344,344,2,9,14,6.55,3.58,"Croatia2003"
"266","Croatia",2007,344,344,2,9,14,4.33,3.07,"Croatia2007"
"267","Croatia",2011,344,344,2,9,14,4.33,2.61,"Croatia2011"
"268","Cuba",1946,40,40,2,9,11,-99,3.64,"Cuba1946"
"269","Cuba",1948,40,40,2,9,11.67,-99,3.88,"Cuba1948"
"270","Cuba",1950,40,40,2,9,11,-99,4.17,"Cuba1950"
"271","Greek Cyprus",1985,352,352,2,9,9.33,3.62,3.57,"Greek Cyprus1985"
"272","Greek Cyprus",1991,352,352,2,9,9.33,3.67,3.51,"Greek Cyprus1991"
"273","Greek Cyprus",1996,352,352,2,9,9.33,3.79,3.52,"Greek Cyprus1996"
"274","Greek Cyprus",2001,352,352,2,9,9.33,3.78,3.65,"Greek Cyprus2001"
"275","Greek Cyprus",2006,352,352,2,9,9.33,4.31,3.9,"Greek Cyprus2006"
"276","Greek Cyprus",2011,352,352,2,9,9.33,3.85,3.6,"Greek Cyprus2011"
"277","Czechoslovakia",1990,315,315,2,9,12.5,5.99,4,"Czechoslovakia1990"
"278","Czechoslovakia",1992,315,315,2,9,12.5,10.99,6.08,"Czechoslovakia1992"
"279","Czech Republic",1996,316,316,2,9,25,5.33,4.15,"Czech Republic1996"
"280","Czech Republic",1998,316,316,2,9,25,4.72,3.71,"Czech Republic1998"
"281","Czech Republic",2002,316,316,2,9,14.29,5.02,3.67,"Czech Republic2002"
"282","Czech Republic",2006,316,316,2,9,14.29,3.94,3.1,"Czech Republic2006"
"283","Czech Republic",2010,316,316,2,9,14.29,6.8,4.51,"Czech Republic2010"
"284","Denmark",1947,390,390,2,9,5.09,3.8,3.56,"Denmark1947"
"285","Denmark",1950,390,390,2,9,4.57,4.01,3.98,"Denmark1950"
"286","Denmark",1953,390,390,2,9,4.57,3.92,3.85,"Denmark1953"
"287","Denmark",1953,390,390,2,9,5.87,3.82,3.63,"Denmark1953.5"
"288","Denmark",1957,390,390,2,9,5.87,3.9,3.77,"Denmark1957"
"289","Denmark",1960,390,390,2,9,5.87,3.81,3.6,"Denmark1960"
"290","Denmark",1964,390,390,2,9,5.87,3.75,3.51,"Denmark1964"
"291","Denmark",1966,390,390,2,9,5.87,4.22,3.97,"Denmark1966"
"292","Denmark",1968,390,390,2,9,5.87,4.56,4.24,"Denmark1968"
"293","Denmark",1971,390,390,2,9,7.94,4.52,3.94,"Denmark1971"
"294","Denmark",1973,390,390,2,9,7.94,7.11,6.89,"Denmark1973"
"295","Denmark",1975,390,390,2,9,7.94,5.6,5.42,"Denmark1975"
"296","Denmark",1977,390,390,2,9,7.94,5.23,5.2,"Denmark1977"
"297","Denmark",1979,390,390,2,9,7.94,4.99,4.82,"Denmark1979"
"298","Denmark",1981,390,390,2,9,7.94,5.76,5.47,"Denmark1981"
"299","Denmark",1984,390,390,2,9,7.94,5.25,5.04,"Denmark1984"
"300","Denmark",1987,390,390,2,9,7.94,5.83,5.31,"Denmark1987"
"301","Denmark",1988,390,390,2,9,7.94,5.83,5.32,"Denmark1988"
"302","Denmark",1990,390,390,2,9,7.94,4.84,4.37,"Denmark1990"
"303","Denmark",1994,390,390,2,9,7.94,4.76,4.54,"Denmark1994"
"304","Denmark",1998,390,390,2,9,7.94,4.74,4.71,"Denmark1998"
"305","Denmark",2001,390,390,2,9,7.94,4.69,4.48,"Denmark2001"
"306","Denmark",2005,390,390,2,9,7.94,5.19,4.89,"Denmark2005"
"307","Denmark",2007,390,390,2,9,13.5,5.41,5.33,"Denmark2007"
"308","Denmark",2011,390,390,2,9,13.5,5.72,5.61,"Denmark2011"
"309","Dominica",1980,54,54,1,1,1,2.96,1.49,"Dominica1980"
"310","Dominica",1985,54,54,1,1,1,2.11,1.76,"Dominica1985"
"311","Dominica",1990,54,54,1,1,1,2.69,2.55,"Dominica1990"
"312","Dominica",1995,54,54,1,1,1,2.99,2.58,"Dominica1995"
"313","Dominica",2000,54,54,1,1,1,2.55,2.38,"Dominica2000"
"314","Dominica",2005,54,54,1,1,1,2.16,2.12,"Dominica2005"
"315","Dominica",2009,54,54,1,1,1,2.01,1.45,"Dominica2009"
"316","Dominican Republic",1966,42,42,2,9,2.47,2.2,1.84,"Dominican Republic1966"
"317","Dominican Republic",1970,42,42,2,9,2.74,2.9,2.3,"Dominican Republic1970"
"318","Dominican Republic",1974,42,42,2,9,3.37,1.35,1.12,"Dominican Republic1974"
"319","Dominican Republic",1978,42,42,2,9,3.37,2.24,1.99,"Dominican Republic1978"
"320","Dominican Republic",1982,42,42,2,9,4.44,2.76,2.25,"Dominican Republic1982"
"321","Dominican Republic",1986,42,42,2,9,4,3.19,2.53,"Dominican Republic1986"
"322","Dominican Republic",1990,42,42,2,9,4,3.23,3.05,"Dominican Republic1990"
"323","Dominican Republic",1994,42,42,2,9,4,2.71,2.43,"Dominican Republic1994"
"324","Dominican Republic",1998,42,42,2,9,5,2.74,2.32,"Dominican Republic1998"
