"","country","year","yrsoffc","prtyin","legelec","mdmh","tensys","liec","eiec","thresh"
"2784","Indonesia",1982,15,18,1,18.5,15,7,2,0
"2789","Indonesia",1987,20,23,1,18.5,20,7,2,0
"2794","Indonesia",1992,25,28,1,18.5,25,6,2,0
"2799","Indonesia",1997,30,33,1,18.5,30,6,2,0
"2801","Indonesia",1999,1,35,1,18.5,1,6,2,0
"2806","Indonesia",2004,3,3,1,18.5,3,7,6,0
"2811","Indonesia",2009,5,5,1,16.9699993133545,5,7,7,2.5
"2817","India",1977,11,30,1,1,28,7,7,0
"2820","India",1980,3,3,1,1,31,7,7,0
"2824","India",1984,4,4,1,1,35,7,7,0
"2829","India",1989,5,9,1,1,5,6,6,0
"2831","India",1991,1,1,1,1,2,7,7,0
"2836","India",1996,5,5,1,1,7,7,7,0
"2839","India",1999,1,1,1,1,10,7,7,0
"2844","India",2004,6,6,1,1,15,7,7,0
"2849","India",2009,5,5,1,1,20,7,7,0
"2855","Ireland",1977,4,4,1,4,47,7,7,0
"2859","Ireland",1981,2,4,1,4,51,7,7,0
"2860","Ireland",1982,1,1,1,4,52,7,7,0
"2865","Ireland",1987,5,5,1,4,57,7,7,0
"2867","Ireland",1989,2,2,1,4,59,7,7,0
"2870","Ireland",1992,5,5,1,4,62,7,7,0
"2875","Ireland",1997,3,3,1,4,67,7,7,0
"2880","Ireland",2002,5,5,1,4,72,7,7,0
"2885","Ireland",2007,10,10,1,4,77,7,7,0
"2889","Ireland",2011,3,14,1,4,81,7,7,0
"2891","Iran",1975,34,NA,1,NA,34,6,2,NA
"2896","Iran",1980,1,NA,1,NA,1,1,2,NA
"2900","Iran",1984,5,NA,1,NA,5,5,2,0
"2904","Iran",1988,9,NA,1,NA,9,5,2,0
"2908","Iran",1992,3,13,1,1.5,3,5,6,0
"2912","Iran",1996,7,17,1,1.5,7,5,6,0
"2916","Iran",2000,3,21,1,1.5,3,5,6,0
"2920","Iran",2004,3,25,1,1.5,3,5,6,0
"2924","Iran",2008,3,NA,1,1.5,3,5,7,0
"2928","Iran",2012,7,NA,1,1.5,7,5,7,0
"2933","Iraq",1979,11,11,1,NA,11,1,2,NA
"2938","Iraq",1984,5,16,1,4.19999980926514,5,4,2,NA
"2943","Iraq",1989,10,21,1,4.19999980926514,10,4,2,NA
"2950","Iraq",1996,17,28,1,4.19999980926514,17,5,2,NA
"2959","Iraq",2005,NA,NA,1,NA,NA,1,1,NA
"2964","Iraq",2010,4,5,1,15.2700004577637,5,7,7,0
"2970","Iceland",1978,4,4,1,7.90000009536743,33,7,7,NA
"2971","Iceland",1979,1,1,1,7.90000009536743,34,7,7,NA
"2975","Iceland",1983,4,4,1,7.90000009536743,38,7,7,NA
"2979","Iceland",1987,4,8,1,7.90000009536743,42,7,7,NA
"2983","Iceland",1991,4,4,1,7.90000009536743,46,7,7,NA
"2987","Iceland",1995,4,4,1,7.90000009536743,50,7,7,NA
"2991","Iceland",1999,2,8,1,7.90000009536743,54,7,7,NA
"2995","Iceland",2003,6,12,1,7.90000009536743,58,7,7,NA
"2999","Iceland",2007,1,1,1,10.5,62,7,7,NA
"3001","Iceland",2009,3,3,1,10.5,64,7,7,NA
"3007","Israel",1977,3,9,1,120,29,7,7,1
"3011","Israel",1981,4,4,1,120,33,7,7,1
"3014","Israel",1984,1,7,1,120,36,7,7,1
"3018","Israel",1988,2,2,1,120,40,7,7,1
"3022","Israel",1992,6,6,1,120,44,7,7,1
"3026","Israel",1996,1,4,1,120,48,7,7,1.5
