"","iso2c","country","year","gdp.pc.wdi","cpi.wdi","unempl.wdi","population.wdi","gdp.pc.ppp.wdi","gdp.pct.chg","gdp.pct.chg2"
"631","FI","Finland",2007,48288.5490978186,2.51066622907786,6.80000019073486,5288720,37505.1309354446,17.4313099897251,23.9147435671884
"632","FI","Finland",2008,53401.3148725198,4.06595165679517,6.30000019073486,5313399,39729.648543659,10.5879465633648,29.8648743400965
"633","FI","Finland",2009,47107.1557090705,0.000615289955425626,8.19999980926514,5338871,37534.5019282014,-11.7865246922754,-2.44652906500656
"634","FI","Finland",2010,46205.1660111855,1.21035762483128,8.39999961853027,5363352,38322.9267423552,-1.91476153528693,-13.4756023864076
"635","FI","Finland",2011,50787.5649828531,3.41680903370978,7.69999980926514,5388272,40251.3735098925,9.91750353317263,7.81284545497179
"636","FI","Finland",2012,47415.5598711351,2.80833232604085,7.59999990463257,5413971,40437.5938723363,-6.63943056308461,2.61960720941156
"637","FR","France",1960,1338.29960630568,4.13926499102168,NA,46814237,NA,NA,NA
"638","FR","France",1961,1440.55433032888,2.41456166407823,NA,47444751,NA,7.64064515459807,NA
"639","FR","France",1962,1585.91726742846,5.24724942573604,NA,48119649,NA,10.0907639537895,18.5024085754847
"640","FR","France",1963,1752.96440283546,4.93968983334257,NA,48803680,NA,10.5331557224208,21.6867955570448
"641","FR","France",1964,1919.26671770559,3.22933771200808,NA,49449403,NA,9.48691910692152,21.0193467921344
"642","FR","France",1965,2042.24038372783,2.71474019111241,NA,50023774,NA,6.40732551071642,16.5021024057568
"643","FR","France",1966,2189.67088787159,2.57072062772335,NA,50508717,NA,7.21905733127487,14.0889313440113
"644","FR","France",1967,2346.36295154832,2.818319074297,NA,50915456,NA,7.15596414715264,14.8916146328159
"645","FR","France",1968,2532.3147484766,4.55212922174167,NA,51276054,NA,7.92510795508317,15.6481899861247
"646","FR","France",1969,2725.21764331867,6.03932584223983,NA,51638260,NA,7.61765080577434,16.1464658108564
"647","FR","France",1970,2862.46926773347,5.84547461407575,NA,52035095,NA,5.0363546101096,13.0376573234226
"648","FR","France",1971,3173.8400260794,5.39751397340144,NA,52480421,NA,10.8776978623242,16.4618919101967
"649","FR","France",1972,3857.37278960172,6.06300459056818,NA,52959228,NA,21.5364592388318,34.7568280673987
"650","FR","France",1973,4965.85476882631,7.38059701503857,NA,53441264,NA,28.7367086275071,56.4620374064839
"651","FR","France",1974,5317.61951021977,13.6493154490811,NA,53882416,NA,7.08366953463281,37.8559916364429
"652","FR","France",1975,6672.51138816429,11.68592918756,NA,54252574,NA,25.4792934195573,34.367831899791
"653","FR","France",1976,6846.35219681131,9.62549277264922,NA,54541493,NA,2.60532801720472,28.7484406068075
"654","FR","France",1977,7513.34497298839,9.49455598845089,NA,54764462,NA,9.74230885299374,12.6014559722681
"655","FR","France",1978,9248.4416311044,9.25055877392421,NA,54947975,NA,23.0935311017123,35.085683079697
"656","FR","France",1979,11170.4601663549,10.6467370882989,NA,55130594,NA,20.7820799645462,48.6749271664537
"657","FR","France",1980,12712.6013994711,13.5391117315934,NA,55340782,NA,13.8055300332307,37.4566862888124
"658","FR","France",1981,11110.5597678072,13.3333333332223,NA,55585824,NA,-12.6019968794943,-0.536239310248986
"659","FR","France",1982,10505.7354723033,11.9784756009021,NA,55858727,NA,-5.44368878025729,-17.3596721695342
"660","FR","France",1983,10005.151671686,9.4595484168631,NA,56156284,NA,-4.76486203119248,-9.949166551663
"661","FR","France",1984,9432.29235681539,7.67380322320495,NA,56470769,NA,-5.72564348516345,-10.2176865038899
"662","FR","France",1985,9775.33943453059,5.83109919580259,NA,56795686,NA,3.6369427996719,-2.29693906396008
"663","FR","France",1986,13557.1472150713,2.53852649389117,NA,57132691,NA,38.6872272402305,43.7312023654086
"664","FR","France",1987,16324.3935591631,3.28889803922628,NA,57482591,NA,20.4117156817143,66.9956697513593
"665","FR","France",1988,17696.5111500917,2.70081722144727,NA,57836486,NA,8.40532045466653,30.5327062497243
"666","FR","France",1989,17704.9589834678,3.49830179524485,NA,58182702,NA,0.0477372816847919,8.45707020785327
"667","FR","France",1990,21795.2378254833,3.38005719375594,NA,58512808,17505.2919840021,23.1024474320152,23.1612131941067
"668","FR","France",1991,21782.4162038013,3.21693474456178,9.10000038146973,58559312,18261.3921863597,-0.058827629157636,23.0300291807559
"669","FR","France",1992,23937.0569176208,2.3657650383532,10.1999998092651,58851216,18882.3260805587,9.89165156730176,9.82700491404254
"670","FR","France",1993,22503.2608510696,2.10601041173684,11.3000001907349,59106766,19130.0826657557,-5.9898594530046,3.30929608783486
"671","FR","France",1994,23625.5289969556,1.66087292390915,12.6000003814697,59327194,19921.1267515082,4.98713565697594,-1.30144621261219
"672","FR","France",1995,27037.9721319292,1.77811550151975,11.8000001907349,59541900,20685.7857268964,14.4438803271382,20.1513518901598
"673","FR","France",1996,27015.2589591084,2.00477822790072,12.3999996185303,59753098,21288.2996421254,-0.0840047201394165,14.3477420657527
"674","FR","France",1997,24359.4250618537,1.22199592668024,12.6000003814697,59964845,22220.0292986754,-9.83086596088047,-9.90661228958217
"675","FR","France",1998,25101.3687369434,0.595238095238107,12.1000003814697,60186291,23321.0934076335,3.04581767921759,-7.08447853511956
"676","FR","France",1999,24799.2960096043,0.533377781481773,12,60496715,24249.7116642788,-1.20341137770117,1.80575258502068
"677","FR","France",2000,22465.6418414637,1.69941142336033,10.1999998092651,60912498,25972.1999010763,-9.41016296283902,-10.5003313687852
"678","FR","France",2001,22527.3177509504,1.6302575806981,8.60000038146973,61357431,27427.5913544085,0.274534375300444,-9.16146271964336
"679","FR","France",2002,24275.2426027905,1.91690728264391,8.69999980926514,61805267,28503.5667367152,7.75913435928855,8.05497022563098
"680","FR","France",2003,29691.1815836764,2.10907373888375,8.60000038146973,62244884,28093.4086044674,22.310545231228,31.8007847712974
"681","FR","France",2004,33874.7425478435,2.1348747591519,9.19999980926514,62704897,29028.1822465162,14.0902474776118,39.5444037455243
"682","FR","France",2005,34879.7263291899,1.73558708119559,8.89999961853027,63179356,30375.5606760951,2.96676433755029,17.4750362524005
"683","FR","France",2006,36544.5085344191,1.6837264500819,8.80000019073486,63621376,32267.0140642839,4.77292221136492,7.88128790294101
"684","FR","France",2007,41600.5839748157,1.48807352833904,8,64016229,34034.3851783839,13.8353904407678,19.2686650755092
"685","FR","France",2008,45413.065712185,2.8139150434845,7.40000009536743,64374990,35141.8379392758,9.16449091117883,24.2678244514169
"686","FR","France",2009,41631.1314123702,0.0880841693173368,9.10000038146973,64707044,34797.474085009,-8.32785507982133,0.0734303094711236
"687","FR","France",2010,40705.7662299421,1.52963938227714,9.30000019073486,65027512,35891.2938160199,-2.22277212036842,-10.3655179592508
"688","FR","France",2011,43807.4759032413,2.11748680870384,9.19999980926514,65342776,37325.3043394949,7.61982873821366,5.22768518903241
"689","FR","France",2012,40850.3523734948,1.95568550044072,9.89999961853027,65639975,37473.6339308145,-6.75027142919161,0.355198186753085
"690","GB","United Kingdom",1960,1380.30624126257,NA,NA,52400000,NA,NA,NA
"691","GB","United Kingdom",1961,1452.54470901356,NA,NA,52800000,NA,5.23351018719681,NA
"692","GB","United Kingdom",1962,1513.65144854926,NA,NA,53250000,NA,4.20687495238604,9.6605523687786
"693","GB","United Kingdom",1963,1592.61447661562,NA,NA,53650000,NA,5.21672463908657,9.6430606736493
"694","GB","United Kingdom",1964,1729.39997803568,NA,NA,5.4e+07,NA,8.58873904692462,14.253514552059
"695","GB","United Kingdom",1965,1850.95476855498,NA,NA,54348050,NA,7.02872626709332,16.2211442714212
"696","GB","United Kingdom",1966,1959.62782962126,NA,NA,54648500,NA,5.87118944841206,13.3125855504567
"697","GB","United Kingdom",1967,2023.62756371118,NA,NA,54943600,NA,3.26591269640672,9.32885006644456
"698","GB","United Kingdom",1968,1896.38674860735,NA,NA,55211700,NA,-6.28775854735246,-3.22719855566312
"699","GB","United Kingdom",1969,2032.34700964503,NA,NA,55441750,NA,7.16943741235933,0.430881951314164
"700","GB","United Kingdom",1970,2347.54431773747,NA,NA,55663250,NA,15.5090300325973,23.7903776464077
"701","GB","United Kingdom",1971,2649.80151387223,NA,NA,55896223,NA,12.875462833693,30.3813522640036
"702","GB","United Kingdom",1972,3030.43251411977,NA,NA,56086065,NA,14.3645098795084,29.0894698439797
"703","GB","United Kingdom",1973,3426.27622050378,NA,NA,56194527,NA,13.0622841637174,29.3031271424125
"704","GB","United Kingdom",1974,3665.8627976419,NA,NA,56229974,NA,6.99262294453576,20.9683033877657
"705","GB","United Kingdom",1975,4299.74561799284,NA,NA,56225800,NA,17.2915042199258,25.4932568559995
"706","GB","United Kingdom",1976,4138.16778761535,NA,NA,56211968,NA,-3.75784627121538,12.8838698021449
"707","GB","United Kingdom",1977,4681.43993173038,NA,NA,56193492,NA,13.1283256744912,8.87713710644393
"708","GB","United Kingdom",1978,5976.93816899991,NA,NA,56196504,NA,27.6730718787773,44.4344085536504
"709","GB","United Kingdom",1979,7804.76208051155,NA,NA,56246951,NA,30.5812752253631,66.7171253787018
"710","GB","United Kingdom",1980,10032.062080015,NA,NA,56314216,NA,28.5377052692613,67.8461746860201
"711","GB","United Kingdom",1981,9599.30622221965,NA,NA,56333829,NA,-4.31372786914317,22.992938454704
"712","GB","United Kingdom",1982,9146.07735701852,NA,NA,56313641,NA,-4.72147522653288,-8.83153150299442
"713","GB","United Kingdom",1983,8691.51881306514,NA,NA,56332848,NA,-4.96998359197738,-9.4568022744523
"714","GB","United Kingdom",1984,8179.19444064991,NA,NA,56422072,NA,-5.89453216905084,-10.5715584794026
"715","GB","United Kingdom",1985,8652.21654247593,NA,NA,56550268,NA,5.78323580956995,-0.452191054688065
"716","GB","United Kingdom",1986,10611.112210096,NA,NA,56681396,NA,22.6403911414301,29.7329741589179
"717","GB","United Kingdom",1987,13118.586534629,NA,NA,56802050,NA,23.6306456371958,51.6211073801323
